orth phon sense pos gender asp dic_name usg etym_lang
поп-звезда ПОП-ЗВЕЗД'А " О знаменитом исполнителе популярных эстрадных песен. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поп-культура ПОП-КУЛЬТ'УРА " использующих приёмы и средства, расчитанные на массовое восприятие, на невзыскательные вкусы. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поп-музыка ПОП-М'УЗЫКА " Общее название различных стилей и направлений лёгкой эстрадной музыки с чёткой римтической основой, ориентированной на коммерческий успех. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None англ.
поповна ПОП'ОВНА " Дочь попа " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поповщина ПОП'ОВЩИНА " Одно из направлений в старообрядстве, признающее церковную иерархию и священников. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попойка ПОП'ОЙКА " Пирушка с обильной выпивкой, пьянка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попона ПОП'ОНА " Покрывало для лошади " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поп-песня ПОП-П'ЕСНЯ " Песня в стиле поп-музыки. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поправка ПОПР'АВКА " к Попр'авить - поправл'ять " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
поправка ПОПР'АВКА " Исправление ошибки в тексте. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поправка ПОПР'АВКА " Дополнение, исправляющее, изменяющее что-л., учитывающее какие-л. обстоятельства. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попса ПОПС'А " О лёгкой эстрадной музыке с чёткой ритмической основой, ориентированной на коммерческий успех. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
популярный ПОПУЛ'ЯРНЫЙ " Понятный, доступный, несложный по содержанию, по изложению. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
популяция ПОПУЛ'ЯЦИЯ " Длительно существующая совокупность особей одного вида животных или растений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
попутка ПОП'УТКА " (останавливать машину). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попутная ПОП'УТНАЯ " =Попутка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попутный ПОП'УТНЫЙ " Идущий, движущийся в одном направлении с кем-, чем-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попутный ПОП'УТНЫЙ " Встречающийся, расположенный на пути кого-, чего-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
попытка ПОП'ЫТКА " Действие, направленное на осуществление или достижение чего-л., но без полной уверенности в успехе. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пора ПОР'А " До этого, до настоящего времени. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поразительный ПОРАЗ'ИТЕЛЬНЫЙ " О человеке. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порно-; П'ОРНО-; " Непристойная натуралистичность, цинизм в изображении половых отношений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
порнуха ПОРН'УХА " Порнография; порнографическое произведение, фильм и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порода ПОР'ОДА " Исходная горная порода, из которой произошли другие горные породы или полезные ископаемые. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порода ПОР'ОДА " Вид растения " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порода ПОР'ОДА " Категория людей, отличающихся от других какими-л. признаками. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порода ПОР'ОДА " Принадлежность по рождению к какому-л. роду, сословию, определённой социальной группе. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порода ПОР'ОДА " Род, семья, родня. " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
породистый ПОР'ОДИСТЫЙ " Имеющий признаки и свойства хорошей породы " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
породистый ПОР'ОДИСТЫЙ " Обладающий физическими признакми, чертами, манерами, которые считались свойственными высшим аристократическим слоям общества. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
породный ПОР'ОДНЫЙ " к Пор'ода " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порожистый ПОР'ОЖИСТЫЙ " Изобилующий порогами " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поросая ПОР'ОСАЯ " =Поросная. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поросль П'ОРОСЛЬ " Молодые побеги растений, вырастающие от пней, от корней, от стволов. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поросль П'ОРОСЛЬ " Молодой лес. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поросль П'ОРОСЛЬ " Растительность, волосяной покров " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
поросная ПОР'ОСНАЯ " Беременная " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поросятина ПОРОС'ЯТИНА " Мясо поросёнка как пища. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пороховница ПОРОХОВН'ИЦА " (есть ещё энергия, сила для борьбы, работы; " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порочный ПОР'ОЧНЫЙ " Подверженный пороку, безнравственный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пороша ПОР'ОША " Мелкий сухой снег, гонимый ветром. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порошинка ПОРОШ'ИНКА " Мельчайшая частица чего-л.; пылинка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
портативка ПОРТАТ'ИВКА " Портативная пишущая машинка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
портативный ПОРТАТ'ИВНЫЙ " Небольших размеров, удобный для ношения при себе, для переноски. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
портновская ПОРТН'ОВСКАЯ " Помещение для портных. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
портретный ПОРТР'ЕТНЫЙ " Комната, обычно в дворянских домах, где висели портреты. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
портупея ПОРТУП'ЕЯ " Плечевой ремень, перевязь или поясной ремень для ношения оружия. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
портьера ПОРТЬ'ЕРА " Занавес из тяжёлой материи на дверях или окнах. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
порубка ПОР'УБКА " к Поруб'ить " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порука ПОР'УКА " (взаимное укрывательство). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поруха ПОР'УХА " Вред, разрушение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порфира ПОРФ'ИРА " Длинная пурпурная мантия, надеваемая монархами в торжественных случаях. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
порция П'ОРЦИЯ " Определённая доля, количество чего-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порча П'ОРЧА " к П'ортить и П'ортиться. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порывистый ПОР'ЫВИСТЫЙ " Неровный, с резкими внезапными усилениями. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порывистый ПОР'ЫВИСТЫЙ " Резкий, внезапный, стремительный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
порядовка ПОРЯД'ОВКА " применяемое при кладке каменных стен для указания правильности рядов кладки " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посадница ПОС'АДНИЦА " к Пос'адник. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посессия ПОС'ЕССИЯ " арендное владение государственными крестьянами и землями, предоставлявшееся промышленным предпринимателям. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посещаемость ПОСЕЩ'АЕМОСТЬ " Число, количество посещений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посилиться ПОС'ИЛИТЬСЯ " Сделать усилие; силиться некоторое время. " " сущ. " " ж. " " св. " "Толковый словарь Кузнецова" None None
посконь П'ОСКОНЬ " Мужское растение конопли с тонким стеблем, из которого вырабатывается волокно " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поскотина ПОСК'ОТИНА " Изгородь вдоль такого выгона. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посланница ПОСЛ'АННИЦА " к Посл'анник " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
последовательность ПОСЛ'ЕДОВАТЕЛЬНОСТЬ " к Посл'едовательный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пословица ПОСЛ'ОВИЦА " Как говорится. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
послушливый ПОСЛ'УШЛИВЫЙ " Послушный, покорный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
послушный ПОСЛ'УШНЫЙ " Покорный, повинующийся. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
послушный ПОСЛ'УШНЫЙ " Отдающийся во власть чего-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" трад.-поэт. None
послушный ПОСЛ'УШНЫЙ " Легко приводимый в действие. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поспешный ПОСП'ЕШНЫЙ " =Поспешно. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поставка ПОСТ'АВКА " к Пост'авить. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постановка ПОСТАН'ОВКА " к Пост'авить. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постановка ПОСТАН'ОВКА " Способ, манера держать какую-л. часть тела " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постановка ПОСТАН'ОВКА " Способ делать что-л., организация чего-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постель ПОСТ'ЕЛЬ " Место для спанья с постланными спальными принадлежностями; сами такие принадлежности " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
постепенный ПОСТЕП'ЕННЫЙ " Совершающийся без резких изменений, не сразу. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постирушка ПОСТИР'УШКА " Небольшая стирка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постоянный ПОСТО'ЯННЫЙ " Не прекращающийся, неизменный и одинаковый во всё время. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постоянный ПОСТО'ЯННЫЙ " Всегдашний, обычный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постоянный ПОСТО'ЯННЫЙ " Рассчитанный на длительный срок, не временный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постперестройка ПОСТПЕРЕСТР'ОЙКА " Время после окончания перестройки, закончившейся в декабре 1991 г. в связи с прекращением существования СССР. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постпозиция ПОСТПОЗ'ИЦИЯ " Положение какого-л. слова (или члена предложения), к которому оно непосредственно относится. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постройка ПОСТР'ОЙКА " к Постр'оить " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поступательный ПОСТУП'АТЕЛЬНЫЙ " движение, при котором все точки тела перемещаются параллельно друг другу). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поступь П'ОСТУПЬ " Манера ступать при ходьбе " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
постыдный ПОСТ'ЫДНЫЙ " =Постыдно. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посуда ПОС'УДА " Хозяйственная утварь для еды, питья, хранения припасов. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посудина ПОС'УДИНА " =Пос'уда " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посудомойка ПОСУДОМ'ОЙКА " Машина для мытья посуды. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посылка ПОС'ЫЛКА " к Посл'ать - посыл'ать " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
посылка ПОС'ЫЛКА " Суждение, служащее основанием для вывода. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потаённый ПОТАёННЫЙ " (укромное). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потасканный ПОТ'АСКАННЫЙ " Поношенный, потёртый " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
потаскуха ПОТАСК'УХА " (известная своим недостойным поведением женщина). " " сущ. " " ж. " None "Толковый словарь Кузнецова" смягчит. None
потасовка ПОТАС'ОВКА " Ссора с дракой. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потачка ПОТ'АЧКА " потворство; поблажка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потенция ПОТ'ЕНЦИЯ " Возможность, способность. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потёртость ПОТёРТОСТЬ " к Потёртый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потеря ПОТ'ЕРЯ " к Потер'ять. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потеря ПОТ'ЕРЯ " То, что утрачено, пропало. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потеря ПОТ'ЕРЯ " Выбывшие из строя во время боя или войны живая сила и техника. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потерянный ПОТ'ЕРЯННЫЙ " Расстроенный и растерянный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потерянный ПОТ'ЕРЯННЫЙ " Заброшенный, покинутый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потеха. ПОТ'ЕХА. " Забава, развлечение, веселье. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потливый ПОТЛ'ИВЫЙ " Склоный к потению, сильно потеющий. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потница ПОТН'ИЦА " Заболевание, выражающееся в появлении мелких пузырьков на коже от усиленного выделения пота " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
потолочина ПОТОЛ'ОЧИНА " Потолочная балка, доска. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поточный ПОТ'ОЧНЫЙ " (комплекс оборудования, машин, работающий по принципу такого производства). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потрава ПОТР'АВА " Порча, истребление травы, посевов и т.п. животными. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потреба ПОТР'ЕБА " Для кого-л., чтобы удовлетворить кого-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потребиловка ПОТРЕБ'ИЛОВКА " магазин потребительской кооперации. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потребность ПОТР'ЕБНОСТЬ " (о физиологическом отправлении кишечника и мочевого пузыря человека). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
проблемный ПРОБЛ'ЕМНЫЙ " Заключающий в себе проблему, посвящённый изучению какой-л. проблемы. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потусторонний ПОТУСТОР'ОННИЙ " существующий за пределами земной жизни; неземной. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
потягота ПОТЯГ'ОТА " (желание потянуться). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поучительный ПОУЧ'ИТЕЛЬНЫЙ " Способный научить чему-л., послужить уроком, назиданием. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поучительный ПОУЧ'ИТЕЛЬНЫЙ " Заключающий в себе поучение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похабность ПОХ'АБНОСТЬ " к Пох'абный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похвала ПОХВАЛ'А " (о чём-л., удовлетворяющем самым высокие требования). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похвалиться ПОХВАЛ'ИТЬСЯ " (об отсутствии таковой). " " сущ. " " ж. " " нсв. " "Толковый словарь Кузнецова" разг. None
похвальный ПОХВ'АЛЬНЫЙ " Содержащий в себе похвалу, одобрение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похлёбка ПОХЛёБКА " Изменить чему-л. важному, значительному из-за мелкой корысти, из-за ничтожной выгоды. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похмелиться ПОХМЕЛ'ИТЬСЯ " =Опохмелиться. " " сущ. " " ж. " " нсв. " "Толковый словарь Кузнецова" None None
походка ПОХ'ОДКА " Манера ходить. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похожий ПОХ'ОЖИЙ " о нездоровом, неряшливом и т.п. виде кого-л.). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похоронка ПОХОР'ОНКА " =Похоронная. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похоронный ПОХОР'ОННЫЙ " к П'охороны. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похотливый ПОХОТЛ'ИВЫЙ " Проникнутый похотью; выражающий похоть. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
похоть П'ОХОТЬ " сладострастие. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почва П'ОЧВА " Вследствие, по причине чего-л., имея основанием что-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почва П'ОЧВА " То, на чём зиждется что-л.; основание, основа. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почесуха ПОЧЕС'УХА " Заболевание кожи, сопровождающееся сильным зудом. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почётный ПОЧёТНЫЙ " Пользующийся почётом. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почётный ПОЧёТНЫЙ " Являющийся выражением, знаком почёта. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почивальня ПОЧИВ'АЛЬНЯ " =Спальня. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
починка ПОЧ'ИНКА " к Почин'ить - почин'ять " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почка П'ОЧКА " Зачаток побега, листка или соцветия. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почта П'ОЧТА " Учреждение связи, ведающее пересылкой писем, периодических изданий, посылок, денег и т.п.; здание, помещение, где находится это учреждение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None итал.
почта П'ОЧТА " Пересылка, доставка чего-л. средствами этих учреждений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None итал.
почтительный ПОЧТ'ИТЕЛЬНЫЙ " Относящийся к кому-л. с почтением, оказывающий кому-л. почтение. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почтмейстерша ПОЧТМ'ЕЙСТЕРША " Жена почтмейстера. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
почтовик ПОЧТОВ'ИК " Почтовый служащий. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пошивочная ПОШ'ИВОЧНАЯ " Пошивочная мастерская. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пошлина П'ОШЛИНА " (взимаемую при оформлении документов по гражданско-правовым сделкам). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пошлость П'ОШЛОСТЬ " к П'ошлый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пошлятина ПОШЛ'ЯТИНА " О том, что является пошлым. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пощада ПОЩ'АДА " Проявлени сострадания, жалости, милосердия к кому-, чему-л. со стороны того, кто властен покарать, уничтожить и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
пощёчина ПОЩёЧИНА " Удар по щеке ладонью. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поэзия ПО'ЭЗИЯ " Одно из основных жанров литературы " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
поэма ПО'ЭМА " Большое лирико-эпическое произведение в стихах. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
поэма ПО'ЭМА " Название музыкально произведения свободной формы, обычно программного характера. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
поэтапный ПОЭТ'АПНЫЙ " Производимый по этапам, этапами. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поэтесса ПОЭТ'ЕССА " Женщина-поэт. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
поэтика ПО'ЭТИКА " Раздел теории литературы, изучающий строение художественных произведений и систему их эстетических средств. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
поэтичный ПОЭТ'ИЧНЫЙ " =Поэтический " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
поясница ПОЯСН'ИЦА " Часть спины в поясе, талии и несколько ниже. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прабабка ПРАБ'АБКА " =Прабабушка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прабабушка ПРАБ'АБУШКА " Мать деда или бабушки. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правда ПР'АВДА " То, что соответствует действительности; истина. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правда ПР'АВДА " То, что исполнено истины; правдивость. " " сущ. " " ж. " None "Толковый словарь Кузнецова" разг. None
правда ПР'АВДА " Справедливость, порядок, основанный на справедливости. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правдивый ПРАВД'ИВЫЙ " Стремящийся к правде, говорящий правду " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правдолюбивый ПРАВДОЛЮБ'ИВЫЙ " Любящий правду, истину, справедливость. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правдоподобный ПРАВДОПОД'ОБНЫЙ " Похожий на правду. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правёжная ПРАВёЖНАЯ " Помещение для наказывания провинившихся. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правильный ПР'АВИЛЬНЫЙ " Соответствующий установленным правилам, не отступающий от существующих правил, норм, порядка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" лингв. None
правильный ПР'АВИЛЬНЫЙ " Верный, безошибочный; истинный, соответствующий реальной ситуации. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правильный ПР'АВИЛЬНЫЙ " Настоящий; такой, какой нужен; хороший, справедливый. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правильный ПР'АВИЛЬНЫЙ " Регулярный, равномерный, ритмичный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правка ПР'АВКА " к Пр'авить " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правозащита ПРАВОЗАЩ'ИТА " Защита, отстаивание прав человека. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правомерный ПРАВОМ'ЕРНЫЙ " Основанный на праве, правах; имеющий право, законный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правоспособность ПРАВОСПОС'ОБНОСТЬ " Признанная государством способность лица иметь права и нести обязанности, предусмотренные законом. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
правота ПРАВОТ'А " Правильность, верность действий, суждений и т.п. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прагматика ПРАГМ'АТИКА " Раздел семиотики, изучающий отношения между средствами языка и теми, кто ими пользуется; сами эти отношения. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
прагматичный ПРАГМАТ'ИЧНЫЙ " сугубо практический, утилитарный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праздничный ПР'АЗДНИЧНЫЙ " к Пр'аздник. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праздничный ПР'АЗДНИЧНЫЙ " Нарядный, красивый, не будничный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праздность ПР'АЗДНОСТЬ " к Пр'аздный " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
празелень ПР'АЗЕЛЕНЬ " Иссиня-зеленоватая краска. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праистория ПРАИСТ'ОРИЯ " Первоначальный, древнейший период развития кого-, чего-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праксиология ПРАКСИОЛ'ОГИЯ " Область социологии, изучающая действие людей с точки зрения установления их эффективности. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
практика ПР'АКТИКА " Вся совокупность деятельности людей, направленной на освоение и преобразование природы и общества, составляющая движущую силу развития общества и человеческого познания. " " сущ. " " ж. " None "Толковый словарь Кузнецова" филос. греч.
практика ПР'АКТИКА " Жизнь, действительность как область применения и проверки каких-л. выводов, положений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
практика ПР'АКТИКА " Применение каких-л. знаний, навыков на деле, систематическое упражнение в чём-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
практика ПР'АКТИКА " Часть учебного процесса по применению и закреплению теоретических знаний. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
практика ПР'АКТИКА " Накопленный опыт, совокупность приёмов и навыков в какой-л. области деятельности. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
практичный ПРАКТ'ИЧНЫЙ " Хорошо разбирающийся в жизненных делах, предпочитающий то, что даёт реальные результаты. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праматерь ПРАМ'АТЕРЬ " (по преданию, первая женщина, допущенная в казачий быт). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прапрабабка ПРАПРАБ'АБКА " =Прапрабабушка. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прапрабабушка ПРАПРАБ'АБУШКА " Мать прадеда или прабабушки. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праправнучка ПРАПР'АВНУЧКА " Дочь правнука или правнучки. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прародина ПРАР'ОДИНА " Место, где первоначально зародилось, появилось что-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прасковья ПРАСК'ОВЬЯ " Женское имя " " сущ. " " ж. " None "Толковый словарь Кузнецова" None греч.
прачечная ПР'АЧЕЧНАЯ " Помещение для стирки белья. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
прачка ПР'АЧКА " Принадлежащий прачке. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
праща ПРАЩ'А " Древнее боевое ручное оружие для метания камней. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
преамбула ПРЕ'АМБУЛА " Вводная часть какого-л. законодательного акта, а также международного договора. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None франц.
превенция ПРЕВ'ЕНЦИЯ " Совокупность мероприятий, направленных на устранение причин для совершения преступлений. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
превратность ПРЕВР'АТНОСТЬ " к Превр'атный. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
превращаемость ПРЕВРАЩ'АЕМОСТЬ " Способность превращаться во что-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
преграда ПРЕГР'АДА " То, что преграждает движение, путь, доступ куда-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
преданный ПР'ЕДАННЫЙ " (в формуле вежливости, заключающей письмо). " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
предварилка ПРЕДВАР'ИЛКА " Место предварительного заключения. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
предварительный ПРЕДВАР'ИТЕЛЬНЫЙ " Предшествующий чему-л. основному, главному, бывающий перед чем-л. " " сущ. " " ж. " None "Толковый словарь Кузнецова" None None
